ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,mepacrine_2.5_BRD-A45889380-300-07-1,G_3-2,5.8163218374041e-05,0.506944627565909,0.193722652670223,0.820166602461596,0.0271128807243314
1,k-strophanthidin_1.24_BRD-A55312468-001-04-7,G_4-2,5.09694134156469e-05,-1.21863564797675,-1.96726962008925,-0.470001675864253,0.024102161368924
1,LGX818_2.5_BRD-A56085258-001-01-8,G_3-1,2.35411690141518e-11,-1.80531904665,-2.51263906902442,-1.09799902427558,1.21866436941786e-07
1,LGX818_2.5_BRD-A56085258-001-01-8,G_3-2,0,-2.01616451962458,-2.48268926165491,-1.54963977759425,0
1,LGX818_2.5_BRD-A56085258-001-01-8,G_4-3,2.68673971959288e-14,1.718046960475,1.2087183320527,2.22737558889729,3.46707829113058e-10
1,LGX818_2.5_BRD-A56085258-001-01-8,G_6-3,2.8199664825479e-14,1.60655448735833,1.11890945175047,2.09419952296619,3.46707829113058e-10
1,PD-318088_2.5_BRD-A57798112-001-03-7,G_3-1,6.81361633780853e-10,-2.083765310135,-2.96640363204121,-1.20112698822879,2.48212472501545e-06
1,PD-318088_2.5_BRD-A57798112-001-03-7,G_3-2,1.97407662716476e-06,-1.09064159309553,-1.67691251809658,-0.504370668094476,0.00192243790984823
1,PD-318088_2.5_BRD-A57798112-001-03-7,G_4-3,9.05091797065438e-08,1.3111843066275,0.675612073877276,1.94675653937772,0.000161860034501386
1,PD-318088_2.5_BRD-A57798112-001-03-7,G_6-3,1.74296975219423e-06,1.13717793566833,0.528663851096049,1.74569202024062,0.00174933692741143
1,naftidrofuryl_2.5_BRD-A67862938-034-14-9,G_5-2,6.46537945335757e-05,1.28450088605932,0.486596244103777,2.08240552801485,0.0291014259415849
1,naftidrofuryl_2.5_BRD-A67862938-034-14-9,G_6-5,4.33454190341687e-05,-1.31400245971276,-2.11523981916815,-0.512765100257365,0.0211057857691226
1,NSC-663284_2.5_BRD-K03109492-001-02-2,G_3-2,6.55598505830968e-05,-1.46478781209649,-2.37528035480832,-0.554295269384661,0.0291387849248818
1,cobimetinib_2.5_BRD-K03390685-001-01-7,G_3-1,2.10406382383788e-06,-2.25045474951786,-3.46318529075579,-1.03772420827993,0.00197096675795282
1,epirubicin_2.5_BRD-K04548931-003-16-5,G_3-0,1.61032076386736e-05,-3.3157617345,-5.25185947764545,-1.37966399135454,0.0101530724161837
1,epirubicin_2.5_BRD-K04548931-003-16-5,G_4-0,0.000118672794598096,-3.02627742175,-4.96237516489545,-1.09017967860454,0.0465036602831854
1,octenidine_2.5_BRD-K04568635-300-01-4,G_3-2,4.28026646923652e-05,-1.12642589640345,-1.81289054137907,-0.439961251427826,0.0209611048989023
1,AZ-628_2.5_BRD-K05804044-001-06-0,G_3-1,9.1030405435788e-11,-1.93608521357143,-2.7176442885198,-1.15452613862306,4.47678430892662e-07
1,AZ-628_2.5_BRD-K05804044-001-06-0,G_3-2,6.43929354282591e-15,-1.56650128801755,-2.08563279459361,-1.04736978144148,1.26671206857054e-10
1,AZ-628_2.5_BRD-K05804044-001-06-0,G_4-3,6.10622663543836e-15,1.699280986075,1.13649412993857,2.26206784221143,1.26671206857054e-10
1,AZ-628_2.5_BRD-K05804044-001-06-0,G_6-3,2.33146835171283e-15,1.70678181083333,1.16795441887935,2.24560920278732,7.64395213792568e-11
1,BMS-599626_2.5_BRD-K07106112-003-03-8,G_3-2,9.81737886633915e-05,0.494514226647676,0.181140017177971,0.807888436117382,0.0399015599394788
1,BMS-599626_2.5_BRD-K07106112-003-03-8,G_6-3,4.95598118210872e-07,-0.635220307923333,-0.960483956642872,-0.309956659203794,0.000620184114741088
1,BMS-599626_2.5_BRD-K07106112-003-03-8,G_6-4,1.46087077902424e-05,-0.559461297218332,-0.884724945937871,-0.234197648498793,0.00964351195189706
