,Sample,Cluster
0,TCGA-A1-A0SD-01,8
1,TCGA-A1-A0SE-01,8
2,TCGA-A1-A0SF-01,1
3,TCGA-A1-A0SG-01,1
4,TCGA-A1-A0SH-01,8
5,TCGA-A1-A0SI-01,8
6,TCGA-A1-A0SJ-01,8
7,TCGA-A1-A0SK-01,2
8,TCGA-A1-A0SM-01,1
9,TCGA-A1-A0SN-01,8
10,TCGA-A1-A0SP-01,8
11,TCGA-A1-A0SQ-01,1
12,TCGA-A2-A04N-01,1
13,TCGA-A2-A04P-01,8
14,TCGA-A2-A04Q-01,8
15,TCGA-A2-A04R-01,1
16,TCGA-A2-A04T-01,8
17,TCGA-A2-A04U-01,8
18,TCGA-A2-A04V-01,1
19,TCGA-A2-A04W-01,8
20,TCGA-A2-A04X-01,1
21,TCGA-A2-A04Y-01,1
22,TCGA-A2-A0CK-01,8
23,TCGA-A2-A0CL-01,8
24,TCGA-A2-A0CM-01,8
25,TCGA-A2-A0CP-01,8
26,TCGA-A2-A0CQ-01,1
27,TCGA-A2-A0CR-01,8
28,TCGA-A2-A0CS-01,1
29,TCGA-A2-A0CT-01,1
30,TCGA-A2-A0CU-01,1
31,TCGA-A2-A0CV-01,8
32,TCGA-A2-A0CW-01,1
33,TCGA-A2-A0CX-01,8
34,TCGA-A2-A0D0-01,8
35,TCGA-A2-A0D1-01,8
36,TCGA-A2-A0D2-01,8
37,TCGA-A2-A0D3-01,1
38,TCGA-A2-A0D4-01,1
39,TCGA-A2-A0EM-01,8
40,TCGA-A2-A0EN-01,8
41,TCGA-A2-A0EO-01,8
42,TCGA-A2-A0EP-01,8
43,TCGA-A2-A0EQ-01,8
44,TCGA-A2-A0ER-01,1
45,TCGA-A2-A0ES-01,8
46,TCGA-A2-A0ET-01,8
47,TCGA-A2-A0EU-01,8
48,TCGA-A2-A0EV-01,8
49,TCGA-A2-A0EW-01,8
50,TCGA-A2-A0EX-01,8
51,TCGA-A2-A0EY-01,8
52,TCGA-A2-A0ST-01,8
53,TCGA-A2-A0SU-01,8
54,TCGA-A2-A0SV-01,8
55,TCGA-A2-A0SW-01,8
56,TCGA-A2-A0SX-01,8
57,TCGA-A2-A0SY-01,8
58,TCGA-A2-A0T0-01,8
59,TCGA-A2-A0T1-01,8
60,TCGA-A2-A0T2-01,8
61,TCGA-A2-A0T3-01,8
62,TCGA-A2-A0T4-01,8
63,TCGA-A2-A0T5-01,8
64,TCGA-A2-A0T6-01,8
65,TCGA-A2-A0T7-01,8
66,TCGA-A2-A0YC-01,1
67,TCGA-A2-A0YD-01,8
68,TCGA-A2-A0YE-01,8
69,TCGA-A2-A0YF-01,8
70,TCGA-A2-A0YG-01,1
71,TCGA-A2-A0YH-01,1
72,TCGA-A2-A0YI-01,8
73,TCGA-A2-A0YJ-01,8
74,TCGA-A2-A0YK-01,8
75,TCGA-A2-A0YL-01,8
76,TCGA-A2-A0YM-01,8
77,TCGA-A2-A0YT-01,1
78,TCGA-A2-A1FV-01,2
79,TCGA-A2-A1FW-01,8
80,TCGA-A2-A1FX-01,8
81,TCGA-A2-A1FZ-01,8
82,TCGA-A2-A1G0-01,8
83,TCGA-A2-A1G1-01,8
84,TCGA-A2-A1G4-01,1
85,TCGA-A2-A1G6-01,8
86,TCGA-A2-A259-01,8
87,TCGA-A2-A25A-01,8
88,TCGA-A2-A25B-01,8
89,TCGA-A2-A25C-01,8
90,TCGA-A2-A25D-01,8
91,TCGA-A2-A25E-01,1
92,TCGA-A2-A25F-01,8
93,TCGA-A2-A3KD-01,8
94,TCGA-A2-A3XT-01,8
95,TCGA-A2-A3XU-01,8
96,TCGA-A2-A3XV-01,8
97,TCGA-A2-A3XW-01,8
98,TCGA-A2-A3XX-01,8
99,TCGA-A2-A3XZ-01,8
100,TCGA-A2-A3Y0-01,8
101,TCGA-A2-A4S1-01,5
102,TCGA-A2-A4S2-01,8
103,TCGA-A2-A4S3-01,1
104,TCGA-A7-A0CD-01,1
105,TCGA-A7-A0CE-01,8
106,TCGA-A7-A0CG-01,8
107,TCGA-A7-A0CJ-01,1
108,TCGA-A7-A0D9-01,8
109,TCGA-A7-A0DA-01,8
110,TCGA-A7-A0DB-01,8
111,TCGA-A7-A13D-01,8
112,TCGA-A7-A13E-01,8
113,TCGA-A7-A13F-01,1
114,TCGA-A7-A13G-01,1
115,TCGA-A7-A26E-01,8
116,TCGA-A7-A26F-01,8
117,TCGA-A7-A26G-01,8
118,TCGA-A7-A26H-01,8
119,TCGA-A7-A26I-01,8
120,TCGA-A7-A26J-01,8
121,TCGA-A7-A2KD-01,8
122,TCGA-A7-A3RF-01,2
123,TCGA-A7-A425-01,8
124,TCGA-A7-A4SC-01,8
125,TCGA-A7-A4SD-01,8
126,TCGA-A7-A4SE-01,8
127,TCGA-A7-A56D-01,1
128,TCGA-A7-A5ZW-01,8
129,TCGA-A7-A5ZX-01,8
130,TCGA-A8-A06O-01,1
131,TCGA-A8-A06P-01,1
132,TCGA-A8-A06Q-01,1
133,TCGA-A8-A06R-01,8
134,TCGA-A8-A06T-01,1
135,TCGA-A8-A06U-01,8
136,TCGA-A8-A06X-01,8
137,TCGA-A8-A06Y-01,8
138,TCGA-A8-A06Z-01,1
139,TCGA-A8-A075-01,1
140,TCGA-A8-A076-01,1
141,TCGA-A8-A079-01,1
142,TCGA-A8-A07B-01,1
143,TCGA-A8-A07F-01,1
144,TCGA-A8-A07G-01,8
145,TCGA-A8-A07I-01,1
146,TCGA-A8-A07J-01,8
147,TCGA-A8-A07L-01,1
148,TCGA-A8-A07O-01,8
149,TCGA-A8-A07P-01,1
150,TCGA-A8-A07U-01,8
151,TCGA-A8-A07W-01,1
152,TCGA-A8-A07Z-01,1
153,TCGA-A8-A081-01,1
154,TCGA-A8-A082-01,1
155,TCGA-A8-A083-01,1
156,TCGA-A8-A085-01,8
157,TCGA-A8-A08B-01,1
158,TCGA-A8-A08C-01,8
159,TCGA-A8-A08F-01,1
160,TCGA-A8-A08G-01,8
161,TCGA-A8-A08H-01,8
162,TCGA-A8-A08J-01,1
163,TCGA-A8-A08L-01,2
164,TCGA-A8-A08O-01,8
165,TCGA-A8-A08P-01,8
166,TCGA-A8-A08R-01,8
167,TCGA-A8-A08S-01,1
168,TCGA-A8-A08T-01,1
169,TCGA-A8-A08X-01,8
170,TCGA-A8-A08Z-01,8
171,TCGA-A8-A090-01,8
172,TCGA-A8-A091-01,1
173,TCGA-A8-A092-01,1
174,TCGA-A8-A093-01,1
175,TCGA-A8-A094-01,8
176,TCGA-A8-A095-01,8
177,TCGA-A8-A096-01,8
178,TCGA-A8-A097-01,8
179,TCGA-A8-A099-01,1
180,TCGA-A8-A09A-01,8
181,TCGA-A8-A09B-01,1
182,TCGA-A8-A09C-01,1
183,TCGA-A8-A09D-01,8
184,TCGA-A8-A09E-01,1
185,TCGA-A8-A09G-01,8
186,TCGA-A8-A09I-01,1
187,TCGA-A8-A09K-01,1
188,TCGA-A8-A09M-01,1
189,TCGA-A8-A09N-01,1
190,TCGA-A8-A09Q-01,1
191,TCGA-A8-A09T-01,1
192,TCGA-A8-A09V-01,8
193,TCGA-A8-A09W-01,1
194,TCGA-A8-A09X-01,8
195,TCGA-A8-A09Z-01,8
196,TCGA-A8-A0A1-01,8
197,TCGA-A8-A0A2-01,1
198,TCGA-A8-A0A4-01,8
199,TCGA-A8-A0A6-01,8
200,TCGA-A8-A0A7-01,8
201,TCGA-A8-A0A9-01,1
202,TCGA-A8-A0AB-01,1
203,TCGA-A8-A0AD-01,1
204,TCGA-AC-A23C-01,8
205,TCGA-AC-A23E-01,8
206,TCGA-AC-A23H-01,1
207,TCGA-AC-A2B8-01,8
208,TCGA-AC-A2BK-01,8
209,TCGA-AC-A2BM-01,8
210,TCGA-AC-A2FB-01,8
211,TCGA-AC-A2FF-01,8
212,TCGA-AC-A2FG-01,8
213,TCGA-AC-A2FO-01,8
214,TCGA-AC-A2QH-01,5
215,TCGA-AC-A3HN-01,8
216,TCGA-AC-A3OD-01,8
217,TCGA-AC-A3QP-01,8
218,TCGA-AC-A3W5-01,8
219,TCGA-AC-A3YI-01,8
220,TCGA-AC-A3YJ-01,1
221,TCGA-AC-A5EH-01,8
222,TCGA-AC-A5XS-01,8
223,TCGA-AC-A5XU-01,2
224,TCGA-AC-A62X-01,8
225,TCGA-AC-A62Y-01,8
226,TCGA-AN-A03X-01,1
227,TCGA-AN-A03Y-01,1
228,TCGA-AN-A041-01,8
229,TCGA-AN-A046-01,8
230,TCGA-AN-A049-01,8
231,TCGA-AN-A04A-01,8
232,TCGA-AN-A04C-01,8
233,TCGA-AN-A04D-01,8
234,TCGA-AN-A0AJ-01,8
235,TCGA-AN-A0AK-01,1
236,TCGA-AN-A0AL-01,8
237,TCGA-AN-A0AM-01,8
238,TCGA-AN-A0AR-01,8
239,TCGA-AN-A0AS-01,8
240,TCGA-AN-A0AT-01,8
241,TCGA-AN-A0FD-01,8
242,TCGA-AN-A0FF-01,8
243,TCGA-AN-A0FJ-01,8
244,TCGA-AN-A0FK-01,1
245,TCGA-AN-A0FL-01,8
246,TCGA-AN-A0FN-01,8
247,TCGA-AN-A0FS-01,8
248,TCGA-AN-A0FT-01,1
249,TCGA-AN-A0FV-01,8
250,TCGA-AN-A0FW-01,8
251,TCGA-AN-A0FX-01,8
252,TCGA-AN-A0FY-01,8
253,TCGA-AN-A0FZ-01,1
254,TCGA-AN-A0G0-01,8
255,TCGA-AN-A0XN-01,8
256,TCGA-AN-A0XO-01,8
257,TCGA-AN-A0XP-01,1
258,TCGA-AN-A0XR-01,1
259,TCGA-AN-A0XS-01,8
260,TCGA-AN-A0XT-01,8
261,TCGA-AN-A0XU-01,8
262,TCGA-AN-A0XV-01,8
263,TCGA-AN-A0XW-01,8
264,TCGA-AO-A03L-01,1
265,TCGA-AO-A03O-01,1
266,TCGA-AO-A03P-01,8
267,TCGA-AO-A03R-01,8
268,TCGA-AO-A03T-01,1
269,TCGA-AO-A03V-01,8
270,TCGA-AO-A0J2-01,8
271,TCGA-AO-A0J3-01,1
272,TCGA-AO-A0J4-01,8
273,TCGA-AO-A0J5-01,8
274,TCGA-AO-A0J6-01,8
275,TCGA-AO-A0J7-01,1
276,TCGA-AO-A0J8-01,1
277,TCGA-AO-A0J9-01,8
278,TCGA-AO-A0JA-01,8
