,Sample,Cluster
0,TCGA-A1-A0SD-01,7
1,TCGA-A1-A0SE-01,7
2,TCGA-A1-A0SF-01,7
3,TCGA-A1-A0SG-01,7
4,TCGA-A1-A0SH-01,7
5,TCGA-A1-A0SI-01,7
6,TCGA-A1-A0SJ-01,7
7,TCGA-A1-A0SK-01,7
8,TCGA-A1-A0SM-01,7
9,TCGA-A1-A0SN-01,7
10,TCGA-A1-A0SP-01,7
11,TCGA-A1-A0SQ-01,7
12,TCGA-A2-A04N-01,7
13,TCGA-A2-A04P-01,7
14,TCGA-A2-A04Q-01,7
15,TCGA-A2-A04R-01,7
16,TCGA-A2-A04T-01,7
17,TCGA-A2-A04U-01,7
18,TCGA-A2-A04V-01,7
19,TCGA-A2-A04W-01,7
20,TCGA-A2-A04X-01,7
21,TCGA-A2-A04Y-01,7
22,TCGA-A2-A0CK-01,7
23,TCGA-A2-A0CL-01,7
24,TCGA-A2-A0CM-01,7
25,TCGA-A2-A0CP-01,7
26,TCGA-A2-A0CQ-01,7
27,TCGA-A2-A0CR-01,7
28,TCGA-A2-A0CS-01,7
29,TCGA-A2-A0CT-01,7
30,TCGA-A2-A0CU-01,7
31,TCGA-A2-A0CV-01,7
32,TCGA-A2-A0CW-01,7
33,TCGA-A2-A0CX-01,7
34,TCGA-A2-A0D0-01,7
35,TCGA-A2-A0D1-01,7
36,TCGA-A2-A0D2-01,7
37,TCGA-A2-A0D3-01,7
38,TCGA-A2-A0D4-01,7
39,TCGA-A2-A0EM-01,7
40,TCGA-A2-A0EN-01,7
41,TCGA-A2-A0EO-01,7
42,TCGA-A2-A0EP-01,7
43,TCGA-A2-A0EQ-01,7
44,TCGA-A2-A0ER-01,7
45,TCGA-A2-A0ES-01,7
46,TCGA-A2-A0ET-01,7
47,TCGA-A2-A0EU-01,7
48,TCGA-A2-A0EV-01,7
49,TCGA-A2-A0EW-01,7
50,TCGA-A2-A0EX-01,7
51,TCGA-A2-A0EY-01,7
52,TCGA-A2-A0ST-01,7
53,TCGA-A2-A0SU-01,7
54,TCGA-A2-A0SV-01,7
55,TCGA-A2-A0SW-01,7
56,TCGA-A2-A0SX-01,7
57,TCGA-A2-A0SY-01,7
58,TCGA-A2-A0T0-01,7
59,TCGA-A2-A0T1-01,7
60,TCGA-A2-A0T2-01,7
61,TCGA-A2-A0T3-01,7
62,TCGA-A2-A0T4-01,7
63,TCGA-A2-A0T5-01,7
64,TCGA-A2-A0T6-01,7
65,TCGA-A2-A0T7-01,7
66,TCGA-A2-A0YC-01,7
67,TCGA-A2-A0YD-01,7
68,TCGA-A2-A0YE-01,7
69,TCGA-A2-A0YF-01,7
70,TCGA-A2-A0YG-01,7
71,TCGA-A2-A0YH-01,7
72,TCGA-A2-A0YI-01,7
73,TCGA-A2-A0YJ-01,7
74,TCGA-A2-A0YK-01,7
75,TCGA-A2-A0YL-01,7
76,TCGA-A2-A0YM-01,7
77,TCGA-A2-A0YT-01,7
78,TCGA-A2-A1FV-01,7
79,TCGA-A2-A1FW-01,7
80,TCGA-A2-A1FX-01,7
81,TCGA-A2-A1FZ-01,7
82,TCGA-A2-A1G0-01,7
83,TCGA-A2-A1G1-01,7
84,TCGA-A2-A1G4-01,7
85,TCGA-A2-A1G6-01,7
86,TCGA-A2-A259-01,7
87,TCGA-A2-A25A-01,7
88,TCGA-A2-A25B-01,7
89,TCGA-A2-A25C-01,7
90,TCGA-A2-A25D-01,7
91,TCGA-A2-A25E-01,7
92,TCGA-A2-A25F-01,7
93,TCGA-A2-A3KD-01,7
94,TCGA-A2-A3XT-01,7
95,TCGA-A2-A3XU-01,7
96,TCGA-A2-A3XV-01,7
97,TCGA-A2-A3XW-01,7
98,TCGA-A2-A3XX-01,7
99,TCGA-A2-A3XZ-01,7
100,TCGA-A2-A3Y0-01,7
101,TCGA-A2-A4S1-01,7
102,TCGA-A2-A4S2-01,7
103,TCGA-A2-A4S3-01,7
104,TCGA-A7-A0CD-01,7
105,TCGA-A7-A0CE-01,7
106,TCGA-A7-A0CG-01,7
107,TCGA-A7-A0CJ-01,7
108,TCGA-A7-A0D9-01,7
109,TCGA-A7-A0DA-01,7
110,TCGA-A7-A0DB-01,7
111,TCGA-A7-A13D-01,7
112,TCGA-A7-A13E-01,7
113,TCGA-A7-A13F-01,7
114,TCGA-A7-A13G-01,7
115,TCGA-A7-A26E-01,7
116,TCGA-A7-A26F-01,7
117,TCGA-A7-A26G-01,7
118,TCGA-A7-A26H-01,7
119,TCGA-A7-A26I-01,7
120,TCGA-A7-A26J-01,7
121,TCGA-A7-A2KD-01,7
122,TCGA-A7-A3RF-01,7
123,TCGA-A7-A425-01,7
124,TCGA-A7-A4SC-01,7
125,TCGA-A7-A4SD-01,7
126,TCGA-A7-A4SE-01,7
127,TCGA-A7-A56D-01,7
128,TCGA-A7-A5ZW-01,7
129,TCGA-A7-A5ZX-01,7
130,TCGA-A8-A06O-01,7
131,TCGA-A8-A06P-01,7
132,TCGA-A8-A06Q-01,7
133,TCGA-A8-A06R-01,7
134,TCGA-A8-A06T-01,7
135,TCGA-A8-A06U-01,7
136,TCGA-A8-A06X-01,7
137,TCGA-A8-A06Y-01,7
138,TCGA-A8-A06Z-01,7
139,TCGA-A8-A075-01,7
140,TCGA-A8-A076-01,7
141,TCGA-A8-A079-01,7
142,TCGA-A8-A07B-01,7
143,TCGA-A8-A07F-01,7
144,TCGA-A8-A07G-01,7
145,TCGA-A8-A07I-01,7
146,TCGA-A8-A07J-01,7
147,TCGA-A8-A07L-01,7
148,TCGA-A8-A07O-01,7
149,TCGA-A8-A07P-01,7
150,TCGA-A8-A07U-01,7
151,TCGA-A8-A07W-01,7
152,TCGA-A8-A07Z-01,7
153,TCGA-A8-A081-01,7
154,TCGA-A8-A082-01,7
155,TCGA-A8-A083-01,7
156,TCGA-A8-A085-01,7
157,TCGA-A8-A08B-01,7
158,TCGA-A8-A08C-01,7
159,TCGA-A8-A08F-01,7
160,TCGA-A8-A08G-01,7
161,TCGA-A8-A08H-01,7
162,TCGA-A8-A08J-01,7
163,TCGA-A8-A08L-01,7
164,TCGA-A8-A08O-01,7
165,TCGA-A8-A08P-01,7
166,TCGA-A8-A08R-01,7
167,TCGA-A8-A08S-01,7
168,TCGA-A8-A08T-01,7
169,TCGA-A8-A08X-01,7
170,TCGA-A8-A08Z-01,7
171,TCGA-A8-A090-01,7
172,TCGA-A8-A091-01,7
173,TCGA-A8-A092-01,7
174,TCGA-A8-A093-01,7
175,TCGA-A8-A094-01,7
176,TCGA-A8-A095-01,7
177,TCGA-A8-A096-01,7
178,TCGA-A8-A097-01,7
179,TCGA-A8-A099-01,7
180,TCGA-A8-A09A-01,7
181,TCGA-A8-A09B-01,7
182,TCGA-A8-A09C-01,7
183,TCGA-A8-A09D-01,7
184,TCGA-A8-A09E-01,7
185,TCGA-A8-A09G-01,7
186,TCGA-A8-A09I-01,7
187,TCGA-A8-A09K-01,7
188,TCGA-A8-A09M-01,7
189,TCGA-A8-A09N-01,7
190,TCGA-A8-A09Q-01,7
191,TCGA-A8-A09T-01,7
192,TCGA-A8-A09V-01,7
193,TCGA-A8-A09W-01,7
194,TCGA-A8-A09X-01,7
195,TCGA-A8-A09Z-01,7
196,TCGA-A8-A0A1-01,7
197,TCGA-A8-A0A2-01,7
198,TCGA-A8-A0A4-01,7
199,TCGA-A8-A0A6-01,7
200,TCGA-A8-A0A7-01,7
201,TCGA-A8-A0A9-01,7
202,TCGA-A8-A0AB-01,7
203,TCGA-A8-A0AD-01,7
204,TCGA-AC-A23C-01,7
205,TCGA-AC-A23E-01,7
206,TCGA-AC-A23H-01,7
207,TCGA-AC-A2B8-01,7
208,TCGA-AC-A2BK-01,7
209,TCGA-AC-A2BM-01,7
210,TCGA-AC-A2FB-01,7
211,TCGA-AC-A2FF-01,7
212,TCGA-AC-A2FG-01,7
213,TCGA-AC-A2FO-01,7
214,TCGA-AC-A2QH-01,7
215,TCGA-AC-A3HN-01,7
216,TCGA-AC-A3OD-01,7
217,TCGA-AC-A3QP-01,7
218,TCGA-AC-A3W5-01,7
219,TCGA-AC-A3YI-01,7
220,TCGA-AC-A3YJ-01,7
221,TCGA-AC-A5EH-01,7
222,TCGA-AC-A5XS-01,7
223,TCGA-AC-A5XU-01,7
224,TCGA-AC-A62X-01,7
225,TCGA-AC-A62Y-01,7
226,TCGA-AN-A03X-01,7
227,TCGA-AN-A03Y-01,7
228,TCGA-AN-A041-01,7
229,TCGA-AN-A046-01,3
230,TCGA-AN-A049-01,7
231,TCGA-AN-A04A-01,7
232,TCGA-AN-A04C-01,7
233,TCGA-AN-A04D-01,7
234,TCGA-AN-A0AJ-01,7
235,TCGA-AN-A0AK-01,7
236,TCGA-AN-A0AL-01,7
237,TCGA-AN-A0AM-01,7
238,TCGA-AN-A0AR-01,7
239,TCGA-AN-A0AS-01,7
240,TCGA-AN-A0AT-01,7
241,TCGA-AN-A0FD-01,7
242,TCGA-AN-A0FF-01,7
243,TCGA-AN-A0FJ-01,7
244,TCGA-AN-A0FK-01,7
245,TCGA-AN-A0FL-01,7
246,TCGA-AN-A0FN-01,7
247,TCGA-AN-A0FS-01,7
248,TCGA-AN-A0FT-01,7
249,TCGA-AN-A0FV-01,7
250,TCGA-AN-A0FW-01,7
251,TCGA-AN-A0FX-01,7
252,TCGA-AN-A0FY-01,7
253,TCGA-AN-A0FZ-01,7
254,TCGA-AN-A0G0-01,7
255,TCGA-AN-A0XN-01,7
256,TCGA-AN-A0XO-01,7
257,TCGA-AN-A0XP-01,7
258,TCGA-AN-A0XR-01,7
259,TCGA-AN-A0XS-01,7
260,TCGA-AN-A0XT-01,7
261,TCGA-AN-A0XU-01,7
262,TCGA-AN-A0XV-01,7
263,TCGA-AN-A0XW-01,7
264,TCGA-AO-A03L-01,7
265,TCGA-AO-A03O-01,7
266,TCGA-AO-A03P-01,7
267,TCGA-AO-A03R-01,7
268,TCGA-AO-A03T-01,7
269,TCGA-AO-A03V-01,7
270,TCGA-AO-A0J2-01,7
271,TCGA-AO-A0J3-01,7
272,TCGA-AO-A0J4-01,7
273,TCGA-AO-A0J5-01,7
274,TCGA-AO-A0J6-01,7
275,TCGA-AO-A0J7-01,7
276,TCGA-AO-A0J8-01,7
277,TCGA-AO-A0J9-01,7
278,TCGA-AO-A0JA-01,7
279,TCGA-AO-A0JB-01,7
280,TCGA-AO-A0JC-01,7
281,TCGA-AO-A0JD-01,7
282,TCGA-AO-A0JE-01,7
283,TCGA-AO-A0JF-01,7
284,TCGA-AO-A0JI-01,7
285,TCGA-AO-A0JJ-01,7
286,TCGA-AO-A0JM-01,7
287,TCGA-AO-A124-01,7
288,TCGA-AO-A128-01,7
289,TCGA-AO-A12A-01,7
290,TCGA-AO-A12D-01,7
291,TCGA-AO-A12F-01,7
292,TCGA-AO-A12H-01,7
293,TCGA-AO-A1KO-01,7
294,TCGA-AO-A1KP-01,7
295,TCGA-AO-A1KR-01,7
296,TCGA-AO-A1KS-01,7
297,TCGA-AO-A1KT-01,7
298,TCGA-AQ-A04H-01,7
299,TCGA-AQ-A04J-01,7
300,TCGA-AQ-A0Y5-01,7
301,TCGA-AQ-A1H2-01,7
302,TCGA-AQ-A1H3-01,7
303,TCGA-AQ-A54O-01,7
304,TCGA-AR-A0TS-01,7
305,TCGA-AR-A0TU-01,7
306,TCGA-AR-A0TX-01,7
307,TCGA-AR-A0TY-01,7
308,TCGA-AR-A0U0-01,7
309,TCGA-AR-A0U2-01,7
310,TCGA-AR-A0U3-01,7
311,TCGA-AR-A1AH-01,7
312,TCGA-AR-A1AI-01,7
313,TCGA-AR-A1AJ-01,7
314,TCGA-AR-A1AK-01,7
315,TCGA-AR-A1AL-01,7
316,TCGA-AR-A1AN-01,7
317,TCGA-AR-A1AO-01,7
318,TCGA-AR-A1AP-01,7
319,TCGA-AR-A1AQ-01,7
320,TCGA-AR-A1AR-01,7
321,TCGA-AR-A1AS-01,7
322,TCGA-AR-A1AT-01,7
323,TCGA-AR-A1AU-01,7
324,TCGA-AR-A1AV-01,7
325,TCGA-AR-A1AW-01,7
326,TCGA-AR-A1AX-01,7
327,TCGA-AR-A1AY-01,7
328,TCGA-AR-A24H-01,7
329,TCGA-AR-A24K-01,7
330,TCGA-AR-A24L-01,7
331,TCGA-AR-A24M-01,7
332,TCGA-AR-A24N-01,7
333,TCGA-AR-A24O-01,7
334,TCGA-AR-A24P-01,7
335,TCGA-AR-A24Q-01,7
336,TCGA-AR-A24R-01,7
337,TCGA-AR-A24S-01,7
338,TCGA-AR-A24T-01,7
339,TCGA-AR-A24U-01,7
340,TCGA-AR-A24V-01,7
341,TCGA-AR-A24W-01,7
342,TCGA-AR-A24X-01,7
343,TCGA-AR-A24Z-01,7
344,TCGA-AR-A250-01,7
345,TCGA-AR-A251-01,7
346,TCGA-AR-A252-01,7
347,TCGA-AR-A254-01,7
348,TCGA-AR-A255-01,7
349,TCGA-AR-A256-01,7
