,Sample,Cluster
0,TCGA-A1-A0SD-01,2
1,TCGA-A1-A0SE-01,2
2,TCGA-A1-A0SF-01,2
3,TCGA-A1-A0SG-01,2
4,TCGA-A1-A0SH-01,2
5,TCGA-A1-A0SI-01,2
6,TCGA-A1-A0SJ-01,2
7,TCGA-A1-A0SK-01,2
8,TCGA-A1-A0SM-01,2
9,TCGA-A1-A0SN-01,2
10,TCGA-A1-A0SP-01,2
11,TCGA-A1-A0SQ-01,2
12,TCGA-A2-A04N-01,2
13,TCGA-A2-A04P-01,2
14,TCGA-A2-A04Q-01,2
15,TCGA-A2-A04R-01,2
16,TCGA-A2-A04T-01,2
17,TCGA-A2-A04U-01,2
18,TCGA-A2-A04V-01,2
19,TCGA-A2-A04W-01,2
20,TCGA-A2-A04X-01,2
21,TCGA-A2-A04Y-01,2
22,TCGA-A2-A0CK-01,2
23,TCGA-A2-A0CL-01,2
24,TCGA-A2-A0CM-01,2
25,TCGA-A2-A0CP-01,2
26,TCGA-A2-A0CQ-01,2
27,TCGA-A2-A0CR-01,2
28,TCGA-A2-A0CS-01,2
29,TCGA-A2-A0CT-01,2
30,TCGA-A2-A0CU-01,2
31,TCGA-A2-A0CV-01,2
32,TCGA-A2-A0CW-01,2
33,TCGA-A2-A0CX-01,2
34,TCGA-A2-A0D0-01,2
35,TCGA-A2-A0D1-01,2
36,TCGA-A2-A0D2-01,2
37,TCGA-A2-A0D3-01,2
38,TCGA-A2-A0D4-01,2
39,TCGA-A2-A0EM-01,2
40,TCGA-A2-A0EN-01,2
41,TCGA-A2-A0EO-01,2
42,TCGA-A2-A0EP-01,2
43,TCGA-A2-A0EQ-01,2
44,TCGA-A2-A0ER-01,2
45,TCGA-A2-A0ES-01,2
46,TCGA-A2-A0ET-01,2
47,TCGA-A2-A0EU-01,2
48,TCGA-A2-A0EV-01,2
49,TCGA-A2-A0EW-01,2
50,TCGA-A2-A0EX-01,2
51,TCGA-A2-A0EY-01,2
52,TCGA-A2-A0ST-01,2
53,TCGA-A2-A0SU-01,2
54,TCGA-A2-A0SV-01,2
55,TCGA-A2-A0SW-01,2
56,TCGA-A2-A0SX-01,2
57,TCGA-A2-A0SY-01,2
58,TCGA-A2-A0T0-01,2
59,TCGA-A2-A0T1-01,2
60,TCGA-A2-A0T2-01,2
61,TCGA-A2-A0T3-01,2
62,TCGA-A2-A0T4-01,2
63,TCGA-A2-A0T5-01,2
64,TCGA-A2-A0T6-01,2
65,TCGA-A2-A0T7-01,2
66,TCGA-A2-A0YC-01,2
67,TCGA-A2-A0YD-01,2
68,TCGA-A2-A0YE-01,2
69,TCGA-A2-A0YF-01,2
70,TCGA-A2-A0YG-01,2
71,TCGA-A2-A0YH-01,2
72,TCGA-A2-A0YI-01,2
73,TCGA-A2-A0YJ-01,2
74,TCGA-A2-A0YK-01,2
75,TCGA-A2-A0YL-01,2
